task,modality_group,feature,source,declared_dtype,shape,files,frames_or_rows,count_source,fps,bytes,bytes_human,details
430_clamp_seal_lerobot,pose,end_pose,info,float32,[6],,34746,declared_expected,24,,,
430_clamp_seal_lerobot,action,action,info,float32,[10],,34746,declared_expected,24,,,
430_clamp_seal_lerobot,state,observation.state,info,float32,[10],,34746,declared_expected,24,,,
430_clamp_seal_lerobot,state,observation.state_phone,info,float32,[6],,34746,declared_expected,24,,,
430_clamp_seal_lerobot,vision_video,observation.images.wrist,info,video,"[480, 640, 3]",,34746,declared_expected,24,,,"{""has_audio"": false, ""video.channels"": 3, ""video.codec"": ""h264"", ""video.fps"": 24, ""video.height"": 480, ""video.is_depth_map"": false, ""video.pix_fmt"": ""yuv420p"", ""video.width"": 640}"
430_clamp_seal_lerobot,vision_video,observation.images.phone,info,video,"[480, 640, 3]",,34746,declared_expected,24,,,"{""has_audio"": false, ""video.channels"": 3, ""video.codec"": ""h264"", ""video.fps"": 24, ""video.height"": 480, ""video.is_depth_map"": false, ""video.pix_fmt"": ""yuv420p"", ""video.width"": 640}"
430_clamp_seal_lerobot,depth_image,observation.images.phone_depth,info,image,"[480, 640, 1]",,34746,declared_expected,24,,,
430_clamp_seal_lerobot,tactile_video,observation.tactiles.left,info,video,"[224, 224, 3]",,34746,declared_expected,24,,,"{""has_audio"": false, ""video.channels"": 3, ""video.codec"": ""h264"", ""video.fps"": 24, ""video.height"": 224, ""video.is_depth_map"": false, ""video.pix_fmt"": ""yuv420p"", ""video.width"": 224}"
430_clamp_seal_lerobot,tactile_video,observation.tactiles.right,info,video,"[224, 224, 3]",,34746,declared_expected,24,,,"{""has_audio"": false, ""video.channels"": 3, ""video.codec"": ""h264"", ""video.fps"": 24, ""video.height"": 224, ""video.is_depth_map"": false, ""video.pix_fmt"": ""yuv420p"", ""video.width"": 224}"
430_clamp_seal_lerobot,force,observation.forces.left,info,float32,[1],,34746,declared_expected,24,,,
430_clamp_seal_lerobot,force,observation.forces.right,info,float32,[1],,34746,declared_expected,24,,,
430_clamp_seal_lerobot,index,timestamp,info,float32,[1],,34746,declared_expected,24,,,
430_clamp_seal_lerobot,index,frame_index,info,int64,[1],,34746,declared_expected,24,,,
430_clamp_seal_lerobot,index,episode_index,info,int64,[1],,34746,declared_expected,24,,,
430_clamp_seal_lerobot,index,index,info,int64,[1],,34746,declared_expected,24,,,
430_clamp_seal_lerobot,index,task_index,info,int64,[1],,34746,declared_expected,24,,,
430_clamp_seal_lerobot,action,action,data_parquet,float32,[10],5,34746,parquet_rows,24,1322431,1.3 MiB,"{""uncompressed_bytes"": 1418481}"
430_clamp_seal_lerobot,pose,end_pose,data_parquet,float32,[6],5,34746,parquet_rows,24,33921,33.1 KiB,"{""uncompressed_bytes"": 127927}"
430_clamp_seal_lerobot,index,episode_index,data_parquet,int64,[1],5,34746,parquet_rows,24,22743,22.2 KiB,"{""uncompressed_bytes"": 21823}"
430_clamp_seal_lerobot,index,frame_index,data_parquet,int64,[1],5,34746,parquet_rows,24,198298,193.7 KiB,"{""uncompressed_bytes"": 333863}"
430_clamp_seal_lerobot,index,index,data_parquet,int64,[1],5,34746,parquet_rows,24,199024,194.4 KiB,"{""uncompressed_bytes"": 333863}"
430_clamp_seal_lerobot,force,observation.forces.left,data_parquet,float32,[1],5,34746,parquet_rows,24,18143,17.7 KiB,"{""uncompressed_bytes"": 17223}"
430_clamp_seal_lerobot,force,observation.forces.right,data_parquet,float32,[1],5,34746,parquet_rows,24,69836,68.2 KiB,"{""uncompressed_bytes"": 68376}"
430_clamp_seal_lerobot,depth_image,observation.images.phone_depth,data_parquet,image,"[480, 640, 1]",5,34746,parquet_rows,24,517424148,493.5 MiB,"{""uncompressed_bytes"": 517937272}"
430_clamp_seal_lerobot,state,observation.state,data_parquet,float32,[10],5,34746,parquet_rows,24,1317447,1.3 MiB,"{""uncompressed_bytes"": 1413520}"
430_clamp_seal_lerobot,state,observation.state_phone,data_parquet,float32,[6],5,34746,parquet_rows,24,1118242,1.1 MiB,"{""uncompressed_bytes"": 1139490}"
430_clamp_seal_lerobot,pose,start_pose,data_parquet,float32,[6],5,34746,parquet_rows,24,33921,33.1 KiB,"{""uncompressed_bytes"": 127927}"
430_clamp_seal_lerobot,index,task_index,data_parquet,int64,[1],5,34746,parquet_rows,24,22743,22.2 KiB,"{""uncompressed_bytes"": 21823}"
430_clamp_seal_lerobot,index,timestamp,data_parquet,float32,[1],5,34746,parquet_rows,24,193209,188.7 KiB,"{""uncompressed_bytes"": 191199}"
430_clamp_seal_lerobot,vision_video,observation.images.phone,video_files,video,"[480, 640, 3]",5,34746,ffprobe_count_frames,"{""24.0"": 5}",955179040,910.9 MiB,"{""duration_s"": 1447.75, ""errors"": [], ""probe"": {""codec_values"": {""h264"": 5}, ""fps_values"": {""24.0"": 5}, ""height_values"": {""480"": 5}, ""pix_fmt_values"": {""yuv420p"": 5}, ""width_values"": {""640"": 5}}}"
